Date,Startup,Industry,SubVertical,Location,Investors,Round,AmountInCrores,URL,CleanedStartup,StandardizedStartup,InvestorsCleaned,Year
2021-04-14,Swiggy,Online Food Delivery,Online Food Delivery,Bengaluru,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,2951.858,https://www.swiggy.com/,swiggy,swiggy,"['amansa holdings', 'carmignac', 'falcon edge capital', 'goldman sachs', 'think investments']",2021.0
2021-04-14,Beldara,E-commerce,Global B2B marketplace,Mumbai,Hindustan Media Ventures,Venture,63.6844,https://beldara.com/,beldara,beldara,['hindustan media ventures'],2021.0
2021-04-07,Groww,FinTech,Investment platform,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series D,714.298,https://groww.in/,groww,groww,"['mc global edtech', 'b capital', 'baron', 'others']",2021.0
2021-04-05,Meesho,E-commerce,Online reselling platform,Bengaluru,SoftBank Vision Fund 2,Series E,2581.8,http://www.meesho.com/,meesho,meesho,['softbank vision fund 2'],2021.0
2021-04-01,BYJU’S,Edu-tech,Online tutoring,Bengaluru,Innoven Capital,Series F,3958.76,http://www.byjus.com/,byjus,byjus,['innoven capital'],2021.0
2021-03-31,Uniphore,Technology,Conversational Service Automation (CSA),Palo Alto,Sorenson Capital Partners,Series D,1204.84,http://uniphore.com/,uniphore,uniphore,['sorenson capital partners'],2021.0
2021-03-30,BYJU’S,Edu-tech,Online tutoring,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series F,3958.76,http://www.byjus.com/,byjus,byjus,"['mc global edtech', 'b capital', 'baron', 'others']",2021.0
2021-03-30,Dunzo,E-commerce,Hyper-local delivery app,Bengaluru,Krishtal Advisors Pte Ltd,Series E,68.848,http://dunzo.in/,dunzo,dunzo,['krishtal advisors pte ltd'],2021.0
2021-03-26,DotPe,FinTech,Commerce and payments platform to offline enterprise businesses.,Gurgaon,PayU,Series A,236.665,https://dotpe.in/,dotpe,dotpe,['payu'],2021.0
2021-03-25,CityMall,E-commerce,Social ecommerce and online grocery platform,Gurgaon,Accel Partners,Series A,94.666,https://www.citymall.live/,citymall,citymall,['accel partners'],2021.0
2021-03-23,SkilloVilla,Edu-tech,Career and job-oriented upskilling.,Bengaluru,"Titan Capital, others",Seed,2581.8,https://www.skillovilla.com/,skillovilla,skillovilla,"['titan capital', 'others']",2021.0
2021-03-04,DealShare,E-commerce,Online shopping platform,"Jaipur, Rajasthan",Innoven Capital,Debt Financing,2151.5,https://www.dealshare.in/,dealshare,dealshare,['innoven capital'],2021.0
2021-02-22,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,"Tiger Global, Kora",Venture,2151.5,https://www.zomato.com/,zomato,zomato,"['tiger global', 'kora']",2021.0
2021-02-19,Fingerlix,Hospitality,Semi-cooked food delivery app,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,23.641070991200003,https://www.fingerlix.com/,fingerlix,fingerlix,"['rhodium trust', 'accel partners and swiggy']",2021.0
2021-02-17,Zolve,FinTech,Global Neobank Venture,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,129.09,https://zolve.com/,zolve,zolve,['accel partners and lightspeed venture partners'],2021.0
2021-02-15,KreditBee,Finance,Digital lending platform,Bengaluru,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,645.45,https://www.kreditbee.in/,kreditbee,kreditbee,['azim premjis premjiinvest and south koreas mirae asset venture'],2021.0
2021-02-12,Pepperfry,E-commerce,Multi-brand furniture brand,Mumbai,InnoVen Capital,Debt Financing,41.084682548,http://www.pepperfry.com/,pepperfry,pepperfry,['innoven capital'],2021.0
