,Id,PetalLengthCm,PetalWidthCm
0,1,1.4,0.2
1,2,1.4,0.2
2,3,1.3,0.2
3,4,1.5,0.2
4,5,1.4,0.2
5,6,1.7,0.4
6,7,1.4,0.3
7,8,1.5,0.2
8,9,1.4,0.2
9,10,1.5,0.1
10,11,1.5,0.2
11,12,1.6,0.2
12,13,1.4,0.1
13,14,1.1,0.1
14,15,1.2,0.2
15,16,1.5,0.4
16,17,1.3,0.4
17,18,1.4,0.3
18,19,1.7,0.3
19,20,1.5,0.3
20,21,1.7,0.2
21,22,1.5,0.4
22,23,1,0.2
23,24,1.7,0.5
24,25,1.9,0.2
25,26,1.6,0.2
26,27,1.6,0.4
27,28,1.5,0.2
28,29,1.4,0.2
29,30,1.6,0.2
30,31,1.6,0.2
31,32,1.5,0.4
32,33,1.5,0.1
33,34,1.4,0.2
34,35,1.5,0.1
35,36,1.2,0.2
36,37,1.3,0.2
37,38,1.5,0.1
38,39,1.3,0.2
39,40,1.5,0.2
40,41,1.3,0.3
41,42,1.3,0.3
42,43,1.3,0.2
43,44,1.6,0.6
44,45,1.9,0.4
45,46,1.4,0.3
46,47,1.6,0.2
47,48,1.4,0.2
48,49,1.5,0.2
49,50,1.4,0.2
50,51,4.7,1.4
51,52,4.5,1.5
52,53,4.9,1.5
53,54,4,1.3
54,55,4.6,1.5
55,56,4.5,1.3
56,57,4.7,1.6
57,58,3.3,1
58,59,4.6,1.3
59,60,3.9,1.4
60,61,3.5,1
61,62,4.2,1.5
62,63,4,1
63,64,4.7,1.4
64,65,3.6,1.3
65,66,4.4,1.4
66,67,4.5,1.5
67,68,4.1,1
68,69,4.5,1.5
69,70,3.9,1.1
70,71,4.8,1.8
71,72,4,1.3
72,73,4.9,1.5
73,74,4.7,1.2
74,75,4.3,1.3
75,76,4.4,1.4
76,77,4.8,1.4
77,78,5,1.7
78,79,4.5,1.5
79,80,3.5,1
80,81,3.8,1.1
81,82,3.7,1
82,83,3.9,1.2
83,84,5.1,1.6
84,85,4.5,1.5
85,86,4.5,1.6
86,87,4.7,1.5
87,88,4.4,1.3
88,89,4.1,1.3
89,90,4,1.3
90,91,4.4,1.2
91,92,4.6,1.4
92,93,4,1.2
93,94,3.3,1
94,95,4.2,1.3
95,96,4.2,1.2
96,97,4.2,1.3
97,98,4.3,1.3
98,99,3,1.1
99,100,4.1,1.3
100,101,6,2.5
101,102,5.1,1.9
102,103,5.9,2.1
103,104,5.6,1.8
104,105,5.8,2.2
105,106,6.6,2.1
106,107,4.5,1.7
107,108,6.3,1.8
108,109,5.8,1.8
109,110,6.1,2.5
110,111,5.1,2
111,112,5.3,1.9
112,113,5.5,2.1
113,114,5,2
114,115,5.1,2.4
115,116,5.3,2.3
116,117,5.5,1.8
117,118,6.7,2.2
118,119,6.9,2.3
119,120,5,1.5
120,121,5.7,2.3
121,122,4.9,2
122,123,6.7,2
123,124,4.9,1.8
124,125,5.7,2.1
125,126,6,1.8
126,127,4.8,1.8
127,128,4.9,1.8
128,129,5.6,2.1
129,130,5.8,1.6
130,131,6.1,1.9
131,132,6.4,2
132,133,5.6,2.2
133,134,5.1,1.5
134,135,5.6,1.4
135,136,6.1,2.3
136,137,5.6,2.4
137,138,5.5,1.8
138,139,4.8,1.8
139,140,5.4,2.1
140,141,5.6,2.4
141,142,5.1,2.3
142,143,5.1,1.9
143,144,5.9,2.3
144,145,5.7,2.5
145,146,5.2,2.3
146,147,5,1.9
147,148,5.2,2
148,149,5.4,2.3
149,150,5.1,1.8
