,Id,Species
50,51,Iris-versicolor
51,52,Iris-versicolor
52,53,Iris-versicolor
53,54,Iris-versicolor
54,55,Iris-versicolor
55,56,Iris-versicolor
56,57,Iris-versicolor
57,58,Iris-versicolor
58,59,Iris-versicolor
59,60,Iris-versicolor
60,61,Iris-versicolor
61,62,Iris-versicolor
62,63,Iris-versicolor
63,64,Iris-versicolor
64,65,Iris-versicolor
65,66,Iris-versicolor
66,67,Iris-versicolor
67,68,Iris-versicolor
68,69,Iris-versicolor
69,70,Iris-versicolor
70,71,Iris-versicolor
71,72,Iris-versicolor
72,73,Iris-versicolor
73,74,Iris-versicolor
74,75,Iris-versicolor
75,76,Iris-versicolor
76,77,Iris-versicolor
77,78,Iris-versicolor
78,79,Iris-versicolor
79,80,Iris-versicolor
80,81,Iris-versicolor
81,82,Iris-versicolor
82,83,Iris-versicolor
83,84,Iris-versicolor
84,85,Iris-versicolor
85,86,Iris-versicolor
86,87,Iris-versicolor
87,88,Iris-versicolor
88,89,Iris-versicolor
89,90,Iris-versicolor
90,91,Iris-versicolor
91,92,Iris-versicolor
92,93,Iris-versicolor
93,94,Iris-versicolor
94,95,Iris-versicolor
95,96,Iris-versicolor
96,97,Iris-versicolor
97,98,Iris-versicolor
98,99,Iris-versicolor
99,100,Iris-versicolor
