,Id,Species
100,101,Iris-virginica
101,102,Iris-virginica
102,103,Iris-virginica
103,104,Iris-virginica
104,105,Iris-virginica
105,106,Iris-virginica
106,107,Iris-virginica
107,108,Iris-virginica
108,109,Iris-virginica
109,110,Iris-virginica
110,111,Iris-virginica
111,112,Iris-virginica
112,113,Iris-virginica
113,114,Iris-virginica
114,115,Iris-virginica
115,116,Iris-virginica
116,117,Iris-virginica
117,118,Iris-virginica
118,119,Iris-virginica
119,120,Iris-virginica
120,121,Iris-virginica
121,122,Iris-virginica
122,123,Iris-virginica
123,124,Iris-virginica
124,125,Iris-virginica
125,126,Iris-virginica
126,127,Iris-virginica
127,128,Iris-virginica
128,129,Iris-virginica
129,130,Iris-virginica
130,131,Iris-virginica
131,132,Iris-virginica
132,133,Iris-virginica
133,134,Iris-virginica
134,135,Iris-virginica
135,136,Iris-virginica
136,137,Iris-virginica
137,138,Iris-virginica
138,139,Iris-virginica
139,140,Iris-virginica
140,141,Iris-virginica
141,142,Iris-virginica
142,143,Iris-virginica
143,144,Iris-virginica
144,145,Iris-virginica
145,146,Iris-virginica
146,147,Iris-virginica
147,148,Iris-virginica
148,149,Iris-virginica
149,150,Iris-virginica
